Date,Total Primary Energy Consumption
1981-05-15,5.93955
1981-06-15,5.995702
1981-07-15,6.208435
1981-08-15,6.112916
1981-09-15,5.820751
1981-10-15,6.144075
1981-11-15,6.13831
1981-12-15,7.088566
1982-01-15,7.448166
1982-02-15,6.471248
1982-03-15,6.544007
1982-04-15,6.040586
1982-05-15,5.602379
1982-06-15,5.572673
1982-07-15,5.835852
1982-08-15,5.818627
1982-09-15,5.549273
1982-10-15,5.726507
1982-11-15,5.978943
1982-12-15,6.458452
1983-01-15,6.907502
1983-02-15,6.065647
1983-03-15,6.431871
1983-04-15,5.869679
1983-05-15,5.692724
1983-06-15,5.677988
1983-07-15,5.941322
1983-08-15,6.128631
1983-09-15,5.699808
1983-10-15,5.701452
1983-11-15,5.935601
1983-12-15,6.863357
1984-01-15,7.654075
1984-02-15,6.623097
1984-03-15,6.858673
1984-04-15,6.270456
1984-05-15,6.170762
1984-06-15,6.026485
1984-07-15,6.155513
1984-08-15,6.323114
1984-09-15,5.761176
1984-10-15,5.960973
1984-11-15,6.100793
1984-12-15,6.666436
1985-01-15,7.377254
1985-02-15,6.880264
1985-03-15,6.577553
1985-04-15,6.10613
1985-05-15,6.005352
1985-06-15,5.88048
1985-07-15,6.187443
1985-08-15,6.256987
1985-09-15,5.759
1985-10-15,6.026246
1985-11-15,6.059118
1985-12-15,7.219105
1986-01-15,7.395548
1986-02-15,6.620399
1986-03-15,6.775964
1986-04-15,6.109551
1986-05-15,6.099383
1986-06-15,6.015826
1986-07-15,6.354208
1986-08-15,6.223701
1986-09-15,5.818638
1986-10-15,6.039911
1986-11-15,6.119265
1986-12-15,7.027262
1987-01-15,7.472334
1987-02-15,6.729068
1987-03-15,6.767036
1987-04-15,6.313868
1987-05-15,6.199256
1987-06-15,6.280222
1987-07-15,6.626659
1987-08-15,6.514555
1987-09-15,6.123881
1987-10-15,6.362769
1987-11-15,6.342057
1987-12-15,7.277377
1988-01-15,7.800316
1988-02-15,7.308187
1988-03-15,7.296746
1988-04-15,6.449806
1988-05-15,6.390836
1988-06-15,6.507738
1988-07-15,6.74603
1988-08-15,6.988178
1988-09-15,6.340877
1988-10-15,6.586707
1988-11-15,6.704226
1988-12-15,7.54036
1989-01-15,7.638754
1989-02-15,7.229609
1989-03-15,7.541178
1989-04-15,6.660421
1989-05-15,6.635388
1989-06-15,6.693823
1989-07-15,6.856059
1989-08-15,7.028178
1989-09-15,6.480976
1989-10-15,6.790632
1989-11-15,6.940303
1989-12-15,8.245458
1990-01-15,7.809229
1990-02-15,7.003709
1990-03-15,7.305262
1990-04-15,6.767827
1990-05-15,6.746032
1990-06-15,6.75604
1990-07-15,7.032228
1990-08-15,7.27916
1990-09-15,6.613362
1990-10-15,6.806996
1990-11-15,6.771694
1990-12-15,7.542279
1991-01-15,8.073919
1991-02-15,6.862151
1991-03-15,7.139158
1991-04-15,6.536525
1991-05-15,6.654742
1991-06-15,6.697962
1991-07-15,7.098771
1991-08-15,7.112438
1991-09-15,6.657673
1991-10-15,6.858579
1991-11-15,7.00625
1991-12-15,7.683272
1992-01-15,7.983356
1992-02-15,7.243262
1992-03-15,7.348601
1992-04-15,6.841695
1992-05-15,6.698111
1992-06-15,6.715207
1992-07-15,7.159824
1992-08-15,7.029227
1992-09-15,6.682167
1992-10-15,6.901625
1992-11-15,7.078626
1992-12-15,8.044431
1993-01-15,7.906822
1993-02-15,7.419789
1993-03-15,7.81162
1993-04-15,6.902824
1993-05-15,6.645595
1993-06-15,6.843164
1993-07-15,7.307744
1993-08-15,7.333215
1993-09-15,6.81506
1993-10-15,6.98306
1993-11-15,7.280565
1993-12-15,8.017693
1994-01-15,8.584499
1994-02-15,7.742173
1994-03-15,7.663456
1994-04-15,6.979174
1994-05-15,6.886151
1994-06-15,7.161979
1994-07-15,7.390638
1994-08-15,7.472467
1994-09-15,6.881232
1994-10-15,7.070611
1994-11-15,7.148132
1994-12-15,8.004
1995-01-15,8.220876
1995-02-15,7.595767
1995-03-15,7.741174
1995-04-15,7.105602
1995-05-15,7.150661
1995-06-15,7.231931
1995-07-15,7.626026
1995-08-15,7.917373
1995-09-15,7.1356
1995-10-15,7.224254
1995-11-15,7.572342
1995-12-15,8.410367
1996-01-15,8.776628
1996-02-15,8.104034
1996-03-15,8.191761
1996-04-15,7.361871
1996-05-15,7.463082
1996-06-15,7.446033
1996-07-15,7.75782
1996-08-15,7.869461
1996-09-15,7.147226
1996-10-15,7.617365
1996-11-15,7.7957
1996-12-15,8.404839
1997-01-15,8.823698
1997-02-15,7.787027
1997-03-15,7.98514
1997-04-15,7.523066
1997-05-15,7.476438
1997-06-15,7.465953
1997-07-15,8.090945
1997-08-15,7.909847
1997-09-15,7.412823
1997-10-15,7.677179
1997-11-15,7.749808
1997-12-15,8.606322
