Date,Total Renewable Energy Consumption
1973-01-15,0.403981
1973-02-15,0.3609
1973-03-15,0.400161
1973-04-15,0.38047
1973-05-15,0.392141
1973-06-15,0.377232
1973-07-15,0.367325
1973-08-15,0.353757
1973-09-15,0.307006
1973-10-15,0.323453
1973-11-15,0.337817
1973-12-15,0.406694
1974-01-15,0.437467
1974-02-15,0.399942
1974-03-15,0.423474
1974-04-15,0.422323
1974-05-15,0.427657
1974-06-15,0.409281
1974-07-15,0.409719
1974-08-15,0.386101
1974-09-15,0.35391
1974-10-15,0.343703
1974-11-15,0.351633
1974-12-15,0.376642
1975-01-15,0.392756
1975-02-15,0.368278
1975-03-15,0.42349
1975-04-15,0.405368
1975-05-15,0.421283
1975-06-15,0.411622
1975-07-15,0.398459
1975-08-15,0.36823
1975-09-15,0.341957
1975-10-15,0.368786
1975-11-15,0.383196
1975-12-15,0.403696
1976-01-15,0.421775
1976-02-15,0.396173
1976-03-15,0.427044
1976-04-15,0.396931
1976-05-15,0.415728
1976-06-15,0.411555
1976-07-15,0.421425
1976-08-15,0.398129
1976-09-15,0.356984
1976-10-15,0.369186
1976-11-15,0.351386
1976-12-15,0.360834
1977-01-15,0.378521
1977-02-15,0.304328
1977-03-15,0.368966
1977-04-15,0.351301
1977-05-15,0.356923
1977-06-15,0.336485
1977-07-15,0.336903
1977-08-15,0.335881
1977-09-15,0.328075
1977-10-15,0.341368
1977-11-15,0.370168
1977-12-15,0.400048
1978-01-15,0.438983
1978-02-15,0.391866
1978-03-15,0.433459
1978-04-15,0.434379
1978-05-15,0.475883
1978-06-15,0.432628
1978-07-15,0.431461
1978-08-15,0.408417
1978-09-15,0.392287
1978-10-15,0.379436
1978-11-15,0.379078
1978-12-15,0.407564
1979-01-15,0.447796
1979-02-15,0.390487
1979-03-15,0.457799
1979-04-15,0.445932
1979-05-15,0.48908
1979-06-15,0.441683
1979-07-15,0.424513
1979-08-15,0.40921
1979-09-15,0.378903
1979-10-15,0.397602
1979-11-15,0.41474
1979-12-15,0.425109
1980-01-15,0.478943
1980-02-15,0.424298
1980-03-15,0.469134
1980-04-15,0.477356
1980-05-15,0.517456
1980-06-15,0.497768
1980-07-15,0.471331
1980-08-15,0.429358
1980-09-15,0.401712
1980-10-15,0.402564
1980-11-15,0.409876
1980-12-15,0.448546
1981-01-15,0.462381
1981-02-15,0.427043
1981-03-15,0.443808
1981-04-15,0.43802
1981-05-15,0.480423
1981-06-15,0.496995
1981-07-15,0.491304
1981-08-15,0.454028
1981-09-15,0.40722
1981-10-15,0.416966
1981-11-15,0.418476
1981-12-15,0.477024
1982-01-15,0.51444
1982-02-15,0.489624
1982-03-15,0.544724
1982-04-15,0.517128
1982-05-15,0.525795
1982-06-15,0.518974
1982-07-15,0.519267
1982-08-15,0.483203
1982-09-15,0.433748
1982-10-15,0.439874
1982-11-15,0.46993
1982-12-15,0.52293
1983-01-15,0.562279
1983-02-15,0.523276
1983-03-15,0.572853
1983-04-15,0.561458
1983-05-15,0.581741
1983-06-15,0.569493
1983-07-15,0.550993
1983-08-15,0.528288
1983-09-15,0.476173
1983-10-15,0.474251
1983-11-15,0.507035
1983-12-15,0.587773
1984-01-15,0.570081
1984-02-15,0.535239
1984-03-15,0.57904
1984-04-15,0.566019
1984-05-15,0.593504
1984-06-15,0.553321
1984-07-15,0.547618
1984-08-15,0.524053
1984-09-15,0.47091
1984-10-15,0.47962
1984-11-15,0.48611
1984-12-15,0.532347
