Date,Primary Energy Stock Change and Other
1994-01-15,1.297963
1994-02-15,0.868748
1994-03-15,0.009653
1994-04-15,-0.323337
1994-05-15,-0.521044
1994-06-15,-0.14846
1994-07-15,-0.146952
1994-08-15,-0.306169
1994-09-15,-0.534198
1994-10-15,-0.285952
1994-11-15,-0.219386
1994-12-15,0.339224
1995-01-15,0.698373
1995-02-15,0.714827
1995-03-15,0.063568
1995-04-15,0.019778
1995-05-15,-0.228859
1995-06-15,-0.175227
1995-07-15,0.172089
1995-08-15,0.274605
1995-09-15,-0.340093
1995-10-15,-0.225219
1995-11-15,0.159267
1995-12-15,0.986032
1996-01-15,1.11126
1996-02-15,0.9838
1996-03-15,0.428224
1996-04-15,-0.106645
1996-05-15,-0.360497
1996-06-15,-0.124808
1996-07-15,-0.056693
1996-08-15,-0.113921
1996-09-15,-0.197201
1996-10-15,-0.165079
1996-11-15,0.376755
1996-12-15,0.704737
1997-01-15,0.889795
1997-02-15,0.545694
1997-03-15,0.090999
1997-04-15,-0.051508
1997-05-15,-0.590444
1997-06-15,-0.239929
1997-07-15,0.251829
1997-08-15,0.049651
1997-09-15,-0.317664
1997-10-15,-0.288775
1997-11-15,0.280021
1997-12-15,0.84269
1998-01-15,0.448116
1998-02-15,0.336958
1998-03-15,0.129496
1998-04-15,-0.366189
1998-05-15,-0.476702
1998-06-15,-0.153003
1998-07-15,0.086938
1998-08-15,0.096105
1998-09-15,-0.048794
1998-10-15,-0.439212
1998-11-15,-0.245998
1998-12-15,0.491362
1999-01-15,0.822705
1999-02-15,0.250248
1999-03-15,0.176366
1999-04-15,-0.118802
1999-05-15,-0.374705
1999-06-15,-0.096642
1999-07-15,0.179707
1999-08-15,0.217118
1999-09-15,-0.18156
1999-10-15,-0.088142
1999-11-15,-0.107289
1999-12-15,0.698529
2000-01-15,1.038043
2000-02-15,0.724425
2000-03-15,0.010993
2000-04-15,-0.120092
2000-05-15,-0.079212
2000-06-15,-0.097827
2000-07-15,0.105211
2000-08-15,0.141744
2000-09-15,-0.200748
2000-10-15,-0.243858
2000-11-15,0.130264
2000-12-15,1.120417
2001-01-15,0.778427
2001-02-15,0.547824
2001-03-15,-0.035736
2001-04-15,-0.439099
2001-05-15,-0.735707
2001-06-15,-0.457387
2001-07-15,-0.148702
2001-08-15,-0.099427
2001-09-15,-0.570544
2001-10-15,-0.563444
2001-11-15,-0.454665
2001-12-15,0.245759
2002-01-15,0.415375
2002-02-15,0.417291
2002-03-15,0.277871
2002-04-15,-0.175403
2002-05-15,-0.446312
2002-06-15,-0.075766
