Date,Amount
1996-08-30,778.0
1996-09-06,785.0
1996-09-13,785.0
1996-09-20,785.0
1996-09-27,796.0
1996-10-04,820.0
1996-10-11,816.0
1996-10-18,816.0
1996-10-25,816.0
1996-11-01,841.0
1996-11-08,847.0
1996-11-15,847.0
1996-11-22,847.0
1996-11-29,847.0
1996-12-06,919.0
1996-12-13,921.0
1996-12-20,921.0
1996-12-27,921.0
1997-01-03,885.0
1997-01-10,885.0
1997-01-17,885.0
1997-01-24,885.0
1997-01-31,880.0
1997-02-07,848.0
1997-02-14,848.0
1997-02-21,844.0
1997-02-28,830.0
1997-03-07,886.0
1997-03-14,886.0
1997-03-21,885.0
1997-03-28,893.0
1997-04-04,853.0
1997-04-11,853.0
1997-04-18,853.0
1997-04-25,852.0
1997-05-02,844.0
1997-05-09,844.0
1997-05-16,844.0
1997-05-23,844.0
1997-05-30,838.0
1997-06-06,779.0
1997-06-13,779.0
1997-06-20,779.0
1997-06-27,779.0
1997-07-04,779.0
1997-07-11,779.0
1997-07-18,779.0
1997-07-25,779.0
1997-08-01,788.0
1997-08-08,782.0
1997-08-15,782.0
1997-08-22,782.0
1997-08-29,782.0
1997-09-05,885.0
1997-09-12,885.0
1997-09-19,885.0
1997-09-26,867.0
1997-10-03,865.0
1997-10-10,865.0
1997-10-17,865.0
1997-10-24,865.0
1997-10-31,874.0
1997-11-07,863.0
1997-11-14,863.0
1997-11-21,863.0
1997-11-28,863.0
1997-12-05,878.0
1997-12-12,878.0
1997-12-19,878.0
1997-12-26,878.0
1998-01-02,878.0
1998-01-09,801.0
1998-01-16,801.0
1998-01-23,801.0
1998-01-30,801.0
1998-02-06,850.0
1998-02-13,850.0
1998-02-20,850.0
1998-02-27,850.0
1998-03-06,850.0
1998-03-13,850.0
1998-03-20,850.0
1998-03-27,850.0
1998-04-03,851.0
1998-04-10,852.0
1998-04-17,852.0
1998-04-24,852.0
1998-05-01,836.0
1998-05-08,833.0
1998-05-15,833.0
1998-05-22,833.0
1998-05-29,833.0
1998-06-05,832.0
1998-06-12,832.0
1998-06-19,832.0
1998-06-26,832.0
1998-07-03,858.0
1998-07-10,858.0
1998-07-17,855.0
1998-07-24,855.0
1998-07-31,849.0
1998-08-07,860.0
1998-08-14,859.0
1998-08-21,859.0
1998-08-28,860.0
1998-09-04,878.0
1998-09-11,878.0
1998-09-18,878.0
1998-09-25,878.0
1998-10-02,905.0
1998-10-09,905.0
1998-10-16,905.0
1998-10-23,905.0
1998-10-30,905.0
1998-11-06,880.0
1998-11-13,880.0
1998-11-20,880.0
1998-11-27,880.0
1998-12-04,918.0
1998-12-11,918.0
1998-12-18,918.0
1998-12-25,918.0
1999-01-01,918.0
1999-01-08,883.0
1999-01-15,883.0
1999-01-22,883.0
1999-01-29,883.0
1999-02-05,825.0
1999-02-12,825.0
1999-02-19,825.0
1999-02-26,825.0
1999-03-05,849.0
1999-03-12,849.0
1999-03-19,849.0
1999-03-26,849.0
1999-04-02,849.0
1999-04-09,882.0
1999-04-16,882.0
1999-04-23,882.0
1999-04-30,882.0
1999-05-07,882.0
1999-05-14,850.0
1999-05-21,850.0
1999-05-28,850.0
1999-06-04,854.0
1999-06-11,854.0
1999-06-18,854.0
1999-06-25,854.0
1999-07-02,856.0
1999-07-09,856.0
1999-07-16,856.0
1999-07-23,856.0
1999-07-30,856.0
1999-08-06,876.0
1999-08-13,876.0
1999-08-20,876.0
1999-08-27,876.0
1999-09-03,876.0
1999-09-10,856.0
1999-09-17,856.0
1999-09-24,856.0
1999-10-01,856.0
1999-10-08,831.0
1999-10-15,831.0
1999-10-22,831.0
1999-10-29,831.0
1999-11-05,831.0
1999-11-12,816.0
1999-11-19,816.0
1999-11-26,816.0
1999-12-03,860.0
1999-12-10,860.0
1999-12-17,860.0
1999-12-24,860.0
1999-12-31,860.0
2000-01-07,854.0
2000-01-14,854.0
2000-01-21,854.0
2000-01-28,854.0
2000-02-04,854.0
2000-02-11,845.0
2000-02-18,845.0
2000-02-25,845.0
2000-03-03,845.0
2000-03-10,895.0
2000-03-17,895.0
2000-03-24,895.0
2000-03-31,895.0
2000-04-07,873.0
2000-04-14,873.0
2000-04-21,873.0
2000-04-28,873.0
2000-05-05,861.0
2000-05-12,861.0
2000-05-19,861.0
2000-05-26,861.0
2000-06-02,885.0
2000-06-09,885.0
2000-06-16,885.0
2000-06-23,885.0
2000-06-30,896.0
2000-07-07,892.0
2000-07-14,892.0
2000-07-21,892.0
2000-07-28,892.0
2000-08-04,895.0
2000-08-11,895.0
2000-08-18,895.0
2000-08-25,895.0
2000-09-01,896.0
2000-09-08,901.0
2000-09-15,901.0
2000-09-22,901.0
2000-09-29,901.0
2000-10-06,899.0
2000-10-13,899.0
2000-10-20,899.0
2000-10-27,899.0
2000-11-03,873.0
2000-11-10,873.0
2000-11-17,873.0
2000-11-24,873.0
2000-12-01,883.0
2000-12-08,885.0
2000-12-15,885.0
2000-12-22,885.0
2000-12-29,885.0
2001-01-05,915.0
2001-01-12,915.0
2001-01-19,915.0
2001-01-26,915.0
2001-02-02,899.0
2001-02-09,899.0
2001-02-16,899.0
2001-02-23,899.0
2001-03-02,899.0
2001-03-09,905.0
2001-03-16,905.0
2001-03-23,905.0
2001-03-30,907.0
2001-04-06,896.0
2001-04-13,896.0
2001-04-20,896.0
2001-04-27,896.0
2001-05-04,881.0
2001-05-11,881.0
2001-05-18,880.0
2001-05-25,880.0
2001-06-01,880.0
2001-06-08,881.0
2001-06-15,881.0
2001-06-22,881.0
2001-06-29,881.0
2001-07-06,880.0
2001-07-13,880.0
2001-07-20,880.0
2001-07-27,880.0
2001-08-03,947.0
2001-08-10,947.0
2001-08-17,947.0
2001-08-24,947.0
2001-08-31,948.0
2001-09-07,941.0
2001-09-14,941.0
2001-09-21,941.0
2001-09-28,941.0
2001-10-05,948.0
2001-10-12,948.0
2001-10-19,948.0
2001-10-26,948.0
2001-11-02,947.0
2001-11-09,947.0
2001-11-16,947.0
2001-11-23,947.0
2001-11-30,899.0
2001-12-07,895.0
2001-12-14,895.0
2001-12-21,895.0
2001-12-28,895.0
2002-01-04,861.0
2002-01-11,861.0
2002-01-18,861.0
2002-01-25,861.0
2002-02-01,919.0
2002-02-08,896.0
2002-02-15,896.0
2002-02-22,896.0
2002-03-01,896.0
2002-03-08,896.0
2002-03-15,896.0
2002-03-22,896.0
2002-03-29,896.0
2002-04-05,938.0
2002-04-12,938.0
2002-04-19,938.0
2002-04-26,938.0
2002-05-03,931.0
2002-05-10,931.0
2002-05-17,931.0
2002-05-24,931.0
2002-05-31,922.0
2002-06-07,934.0
2002-06-14,934.0
2002-06-21,934.0
2002-06-28,934.0
2002-07-05,934.0
2002-07-12,959.0
2002-07-19,959.0
2002-07-26,959.0
2002-08-02,954.0
2002-08-09,954.0
2002-08-16,954.0
2002-08-23,954.0
2002-08-30,908.0
2002-09-06,902.0
2002-09-13,902.0
2002-09-20,902.0
2002-09-27,902.0
2002-10-04,928.0
2002-10-11,928.0
2002-10-18,928.0
2002-10-25,928.0
2002-11-01,977.0
2002-11-08,959.0
2002-11-15,959.0
2002-11-22,959.0
2002-11-29,959.0
2002-12-06,1013.0
2002-12-13,1013.0
2002-12-20,1013.0
2002-12-27,1013.0
2003-01-03,946.0
2003-01-10,946.0
2003-01-17,946.0
2003-01-24,946.0
2003-01-31,876.0
2003-02-07,893.0
2003-02-14,893.0
2003-02-21,893.0
2003-02-28,893.0
2003-03-07,973.0
2003-03-14,971.0
2003-03-21,971.0
2003-03-28,971.0
2003-04-04,963.0
2003-04-11,963.0
2003-04-18,963.0
2003-04-25,963.0
2003-05-02,950.0
2003-05-09,950.0
2003-05-16,950.0
2003-05-23,950.0
2003-05-30,958.0
2003-06-06,966.0
2003-06-13,966.0
2003-06-20,966.0
2003-06-27,962.0
2003-07-04,952.0
2003-07-11,952.0
2003-07-18,952.0
2003-07-25,952.0
2003-08-01,971.0
2003-08-08,961.0
2003-08-15,961.0
2003-08-22,961.0
2003-08-29,974.0
2003-09-05,952.0
2003-09-12,952.0
2003-09-19,952.0
2003-09-26,942.0
2003-10-03,966.0
2003-10-10,966.0
2003-10-17,966.0
2003-10-24,966.0
2003-10-31,938.0
2003-11-07,921.0
2003-11-14,899.0
2003-11-21,889.0
2003-11-28,864.0
2003-12-05,978.0
2003-12-12,978.0
2003-12-19,978.0
2003-12-26,978.0
2004-01-02,978.0
2004-01-09,984.0
2004-01-16,984.0
2004-01-23,984.0
2004-01-30,964.0
2004-02-06,922.0
2004-02-13,922.0
2004-02-20,922.0
2004-02-27,922.0
2004-03-05,974.0
2004-03-12,974.0
2004-03-19,974.0
2004-03-26,974.0
2004-04-02,974.0
2004-04-09,957.0
2004-04-16,957.0
2004-04-23,957.0
2004-04-30,957.0
2004-05-07,958.0
2004-05-14,947.0
2004-05-21,947.0
2004-05-28,947.0
2004-06-04,936.0
2004-06-11,936.0
2004-06-18,936.0
2004-06-25,949.0
2004-07-02,926.0
2004-07-09,926.0
2004-07-16,926.0
2004-07-23,926.0
2004-07-30,973.0
2004-08-06,978.0
2004-08-13,978.0
2004-08-20,981.0
2004-08-27,981.0
2004-09-03,981.0
2004-09-10,981.0
2004-09-17,983.0
2004-09-24,959.0
2004-10-01,959.0
2004-10-08,1028.0
2004-10-15,1028.0
2004-10-22,1021.0
2004-10-29,1021.0
2004-11-05,988.0
2004-11-12,988.0
2004-11-19,955.0
2004-11-26,955.0
2004-12-03,914.0
2004-12-10,967.0
2004-12-17,973.0
2004-12-24,973.0
2004-12-31,973.0
2005-01-07,973.0
2005-01-14,973.0
2005-01-21,973.0
2005-01-28,973.0
2005-02-04,979.0
2005-02-11,979.0
2005-02-18,1075.0
2005-02-25,1025.0
2005-03-04,1002.0
2005-03-11,1002.0
2005-03-18,1002.0
2005-03-25,986.0
2005-04-01,986.0
2005-04-08,931.0
2005-04-15,931.0
2005-04-22,956.0
2005-04-29,1009.0
2005-05-06,995.0
2005-05-13,1028.0
2005-05-20,1078.0
2005-05-27,1119.0
2005-06-03,1140.0
2005-06-10,1140.0
2005-06-17,1140.0
2005-06-24,1140.0
2005-07-01,1119.0
2005-07-08,1076.0
2005-07-15,1076.0
2005-07-22,1076.0
2005-07-29,1111.0
2005-08-05,1104.0
2005-08-12,1171.0
2005-08-19,1191.0
2005-08-26,1136.0
2005-09-02,1136.0
2005-09-09,1080.0
2005-09-16,1080.0
2005-09-23,1080.0
2005-09-30,923.0
2005-10-07,914.0
2005-10-14,824.0
2005-10-21,824.0
2005-10-28,824.0
2005-11-04,827.0
2005-11-11,828.0
2005-11-18,828.0
2005-11-25,828.0
2005-12-02,887.0
2005-12-09,873.0
2005-12-16,873.0
2005-12-23,873.0
2005-12-30,854.0
2006-01-06,869.0
2006-01-13,869.0
2006-01-20,869.0
2006-01-27,923.0
2006-02-03,923.0
2006-02-10,923.0
2006-02-17,923.0
2006-02-24,923.0
2006-03-03,1017.0
2006-03-10,1017.0
2006-03-17,1017.0
2006-03-24,1017.0
2006-03-31,1060.0
2006-04-07,1071.0
2006-04-14,1071.0
2006-04-21,1071.0
2006-04-28,1021.0
2006-05-05,1089.0
2006-05-12,1089.0
2006-05-19,1089.0
2006-05-26,1089.0
2006-06-02,1120.0
2006-06-09,1120.0
2006-06-16,1120.0
2006-06-23,1120.0
2006-06-30,1212.0
2006-07-07,1218.0
2006-07-14,1218.0
2006-07-21,1218.0
2006-07-28,1218.0
2006-08-04,1112.0
2006-08-11,1112.0
2006-08-18,1112.0
2006-08-25,1112.0
2006-09-01,1250.0
2006-09-08,1168.0
2006-09-15,1168.0
2006-09-22,1168.0
2006-09-29,1268.0
2006-10-06,1167.0
2006-10-13,1267.0
2006-10-20,1267.0
2006-10-27,1267.0
2006-11-03,1304.0
2006-11-10,1304.0
2006-11-17,1304.0
2006-11-24,1304.0
2006-12-01,1275.0
2006-12-08,1262.0
2006-12-15,1262.0
2006-12-22,1262.0
2006-12-29,1262.0
2007-01-05,1222.0
2007-01-12,1222.0
2007-01-19,1222.0
2007-01-26,1222.0
2007-02-02,1222.0
2007-02-09,1227.0
2007-02-16,1227.0
2007-02-23,1227.0
2007-03-02,1184.0
2007-03-09,1184.0
2007-03-16,1184.0
2007-03-23,1184.0
2007-03-30,1184.0
2007-04-06,1199.0
2007-04-13,1199.0
2007-04-20,1199.0
2007-04-27,1199.0
2007-05-04,1199.0
2007-05-11,1179.0
2007-05-18,1179.0
2007-05-25,1179.0
2007-06-01,1224.0
2007-06-08,1234.0
2007-06-15,1234.0
2007-06-22,1234.0
2007-06-29,1218.0
2007-07-06,1168.0
2007-07-13,1168.0
2007-07-20,1168.0
2007-07-27,1168.0
2007-08-03,1205.0
2007-08-10,1205.0
2007-08-17,1205.0
2007-08-24,1205.0
2007-08-31,1155.0
2007-09-07,1165.0
2007-09-14,1165.0
2007-09-21,1165.0
2007-09-28,1165.0
2007-10-05,1200.0
2007-10-12,1200.0
2007-10-19,1200.0
2007-10-26,1200.0
2007-11-02,1247.0
2007-11-09,1247.0
2007-11-16,1247.0
2007-11-23,1247.0
2007-11-30,1247.0
2007-12-07,1226.0
2007-12-14,1226.0
2007-12-21,1226.0
2007-12-28,1226.0
2008-01-04,1226.0
2008-01-11,1212.0
2008-01-18,1212.0
2008-01-25,1212.0
2008-02-01,1329.0
2008-02-08,1318.0
2008-02-15,1318.0
2008-02-22,1318.0
2008-02-29,1318.0
2008-03-07,1256.0
2008-03-14,1256.0
2008-03-21,1256.0
2008-03-28,1256.0
2008-04-04,1323.0
2008-04-11,1323.0
2008-04-18,1323.0
2008-04-25,1323.0
2008-05-02,1409.0
2008-05-09,1409.0
2008-05-16,1409.0
2008-05-23,1409.0
2008-05-30,1502.0
2008-06-06,1417.0
2008-06-13,1417.0
2008-06-20,1417.0
2008-06-27,1417.0
2008-07-04,1417.0
2008-07-11,1424.0
2008-07-18,1424.0
2008-07-25,1424.0
2008-08-01,1517.0
2008-08-08,1474.0
2008-08-15,1474.0
2008-08-22,1474.0
2008-08-29,1337.0
2008-09-05,1305.0
2008-09-12,1305.0
2008-09-19,1305.0
2008-09-26,1305.0
2008-10-03,1484.0
2008-10-10,1484.0
2008-10-17,1484.0
2008-10-24,1484.0
2008-10-31,1568.0
2008-11-07,1545.0
2008-11-14,1745.0
2008-11-21,1745.0
2008-11-28,1745.0
2008-12-05,1367.0
2008-12-12,1367.0
2008-12-19,1367.0
2008-12-26,1367.0
2009-01-02,1367.0
2009-01-09,1486.0
2009-01-16,1486.0
2009-01-23,1486.0
2009-01-30,1486.0
2009-02-06,1486.0
2009-02-13,1566.0
2009-02-20,1566.0
2009-02-27,1566.0
2009-03-06,1622.0
2009-03-13,1622.0
2009-03-20,1622.0
2009-03-27,1622.0
2009-04-03,1705.0
2009-04-10,1705.0
2009-04-17,1705.0
2009-04-24,1795.0
2009-05-01,1795.0
2009-05-08,1795.0
2009-05-15,1820.0
2009-05-22,1820.0
2009-05-29,1820.0
2009-06-05,1820.0
2009-06-12,1833.0
2009-06-19,1833.0
2009-06-26,1833.0
2009-07-03,1833.0
2009-07-10,1863.0
2009-07-17,1863.0
2009-07-24,1863.0
2009-07-31,1863.0
2009-08-07,1863.0
2009-08-14,1815.0
2009-08-21,1815.0
2009-08-28,1815.0
2009-09-04,1815.0
2009-09-11,1867.0
2009-09-18,1867.0
2009-09-25,1867.0
2009-10-02,1867.0
2009-10-09,1859.0
2009-10-16,1859.0
2009-10-23,1859.0
2009-10-30,1859.0
2009-11-06,1859.0
2009-11-13,1920.0
2009-11-20,1920.0
2009-11-27,1920.0
2009-12-04,1920.0
2009-12-11,1913.0
2009-12-18,1913.0
2009-12-25,1913.0
2010-01-01,1913.0
2010-01-08,1913.0
2010-01-15,1647.0
2010-01-22,1647.0
2010-01-29,1647.0
2010-02-05,1647.0
2010-02-12,1679.0
2010-02-19,1679.0
2010-02-26,1679.0
2010-03-05,1679.0
2010-03-12,1611.0
2010-03-19,1611.0
2010-03-26,1611.0
2010-04-02,1611.0
2010-04-09,1611.0
2010-04-16,1700.0
2010-04-23,1700.0
2010-04-30,1700.0
2010-05-07,1700.0
2010-05-14,1751.0
2010-05-21,1751.0
2010-05-28,1751.0
2010-06-04,1751.0
2010-06-11,1751.0
2010-06-18,1992.0
2010-06-25,1992.0
2010-07-02,1992.0
2010-07-09,1992.0
2010-07-16,2087.0
2010-07-23,2087.0
2010-07-30,2087.0
2010-08-06,2087.0
2010-08-13,2030.0
2010-08-20,2030.0
2010-08-27,2030.0
2010-09-03,2030.0
2010-09-10,2156.0
2010-09-17,2156.0
2010-09-24,2156.0
2010-10-01,2156.0
2010-10-08,2156.0
2010-10-15,2153.0
2010-10-22,2153.0
2010-10-29,2153.0
2010-11-05,2153.0
2010-11-12,2087.0
2010-11-19,2087.0
2010-11-26,2087.0
2010-12-03,2087.0
2010-12-10,2219.0
2010-12-17,2219.0
2010-12-24,2219.0
2010-12-31,2219.0
2011-01-07,2219.0
2011-01-14,2208.0
2011-01-21,2208.0
2011-01-28,2208.0
2011-02-04,2208.0
2011-02-11,2135.0
2011-02-18,2135.0
2011-02-25,2135.0
2011-03-04,2135.0
