Date,Total Primary Energy Production
1995-02-15,5.584868
1995-03-15,6.116988
1995-04-15,5.70105
1995-05-15,5.913109
1995-06-15,5.861459
1995-07-15,5.936468
1995-08-15,6.083948
1995-09-15,5.851336
1995-10-15,6.001297
1995-11-15,5.934589
1995-12-15,6.008133
1996-01-15,6.059141
1996-02-15,5.79669
1996-03-15,6.189331
1996-04-15,5.926717
1996-05-15,6.090304
1996-06-15,5.947811
1996-07-15,6.143928
1996-08-15,6.270734
1996-09-15,5.882131
1996-10-15,6.132082
1996-11-15,5.911367
1996-12-15,6.084943
1997-01-15,6.254976
1997-02-15,5.746241
1997-03-15,6.192933
1997-04-15,5.885508
1997-05-15,6.192849
1997-06-15,5.907539
1997-07-15,6.114257
1997-08-15,6.107493
1997-09-15,5.971856
1997-10-15,6.120932
1997-11-15,5.763211
1997-12-15,6.162249
1998-01-15,6.401503
1998-02-15,5.711258
1998-03-15,6.281759
1998-04-15,6.005141
1998-05-15,6.15207
1998-06-15,6.028084
1998-07-15,6.126844
1998-08-15,6.128645
1998-09-15,5.86565
1998-10-15,6.122033
1998-11-15,5.855798
1998-12-15,6.147631
1999-01-15,6.149931
1999-02-15,5.74373
1999-03-15,6.198125
1999-04-15,5.773109
1999-05-15,5.890502
1999-06-15,5.939674
1999-07-15,6.055358
1999-08-15,6.115243
1999-09-15,5.883394
1999-10-15,5.874522
1999-11-15,5.934439
1999-12-15,6.127555
2000-01-15,6.023275
2000-02-15,5.742821
2000-03-15,6.284132
2000-04-15,5.727983
2000-05-15,6.023271
2000-06-15,5.96174
2000-07-15,5.95147
2000-08-15,6.185366
2000-09-15,5.771765
2000-10-15,5.948318
2000-11-15,5.828947
2000-12-15,5.821438
2001-01-15,6.109586
2001-02-15,5.530599
2001-03-15,6.180123
2001-04-15,5.791091
2001-05-15,6.063585
2001-06-15,5.977746
2001-07-15,5.988003
2001-08-15,6.203553
2001-09-15,5.806793
2001-10-15,6.13828
2001-11-15,5.922884
2001-12-15,5.963051
2002-01-15,6.257651
2002-02-15,5.580875
2002-03-15,5.923218
2002-04-15,5.794792
2002-05-15,6.033163
2002-06-15,5.83421
2002-07-15,5.973646
2002-08-15,6.026873
2002-09-15,5.726036
2002-10-15,5.807055
2002-11-15,5.712618
2002-12-15,5.982816
2003-01-15,6.001246
2003-02-15,5.404339
2003-03-15,5.91949
2003-04-15,5.762653
2003-05-15,5.938245
2003-06-15,5.820217
2003-07-15,5.891463
2003-08-15,5.935407
2003-09-15,5.753875
2003-10-15,5.896787
2003-11-15,5.579069
2003-12-15,5.981777
2004-01-15,6.020802
2004-02-15,5.568064
2004-03-15,5.985225
2004-04-15,5.741277
2004-05-15,5.809624
2004-06-15,5.90141
2004-07-15,5.993601
2004-08-15,5.98525
2004-09-15,5.685233
2004-10-15,5.747836
2004-11-15,5.69911
2004-12-15,6.031906
2005-01-15,5.969421
2005-02-15,5.520605
2005-03-15,6.131405
2005-04-15,5.754439
2005-05-15,5.906135
2005-06-15,5.925535
2005-07-15,5.925577
2005-08-15,5.982733
2005-09-15,5.390317
2005-10-15,5.473985
2005-11-15,5.592563
2005-12-15,5.804013
2006-01-15,6.034964
2006-02-15,5.414109
2006-03-15,5.987906
2006-04-15,5.74221
2006-05-15,6.029176
2006-06-15,5.970951
2006-07-15,5.997598
2006-08-15,6.06708
2006-09-15,5.752807
2006-10-15,5.870345
2006-11-15,5.787726
2006-12-15,6.022427
2007-01-15,6.134685
2007-02-15,5.473064
2007-03-15,6.038686
2007-04-15,5.759346
2007-05-15,6.087619
2007-06-15,5.945816
2007-07-15,6.005923
2007-08-15,6.136688
2007-09-15,5.773595
2007-10-15,5.979562
2007-11-15,5.9274
2007-12-15,6.075292
2008-01-15,6.196416
2008-02-15,5.819765
